label,message
0,dat is a problem k..i need program for dat problem
0,ya
0,rum
0,no d
0,i trusted u only na..i thaught sterday atleast u would giv d code but u didnt.then only i went to an another option..
0,no nt at al..
0,podi podi;->:-@
0,bring ma pdc record d
0,it takes tym for me to finish after dat i vil sleep
0,no
0,hey dip code da
0,hostel
0,'happy bday dear:-
0,wats wrong in askin codes da
0,hostel
0,thanx
0,ya
0,ya d
0,idiot just shut up k.. i told her dat i am gonna send msg to my school frnds n ask..after dat only she askd her school frnd in gtalk..but i didnt ask ma frnd after..sterday only i askd..
0,u tel abt dat article
0,ya d:-(:-(
0,ya
0,sleepin
0,wru
0,k
0,wru
0,k
0,hey can u ask any ofur frnds abt dat huffman coding
0,noodles
0,'okay :-
0,ya
0,u didnt giv..atlast min wat can i do so i askd them..wats wrong in it?
0,k leave i dnt want anythng.tel abt dat article
0,no d our clasmate
0,shal i cal
0,lyin
0,"i want ur dbms record.,"
0,i vil cum at 8 only
0,k
0,u told me u didnt lyk me talkin with ma schol frndz
0,i returned back
0,'k d:-
0,did u wrote program in dip
0,i want akka.
0,wats der in it..atlast min wat can i do?..so i askd my frnds..
0,k dats wat i told u.i hav never askd u any help frm u..first tym i askd u for dis program but u didnt.i trusted u a lot..u wer nt intrested on dat day itself wen i teach u dat problem
0,vv
0,wen u believe \
0,ef
0,wru
0,no d
0,'vaishu woke up d:-
0,k
0,k d i vil giv ten rs
0,idiot u take nw d
0,i am bunkin d lab
0,i dnt want
0,k hereafter i wnt ask
0,k tel later
0,podi podi;->
0,k
0,wen u go to bath msg me
0,k
0,k
0,dnt knw
0,i shouldnt talk with ma schol frnds ah
0,'k d:-
0,hmmm u take it nw d..u gonna do noodles only na..u return back after half n hour
0,oh k k fyn
0,der
0,'oh k k enjoy:-
0,k leave i wnt believe u for anythng in ma lyf tym.
0,hey today pr for me with koushik d:-(:-(;-(
0,k leave
0,me too
0,ya
0,wat doin
0,y ru angry on me
0,wat u want me to do?
0,hey ask any of ur frnds whether they want carpidem t.shirt medium size
0,v didnt start yet d..goin to start
0,hostel
0,der
0,'hmmm..k k:-
0,oh u didnt lyk wat i told abt dat ict ah
0,hey nw sastra super singer is goin in vkj audi..d..n group music starts frm <decimal> d.i saw a team practising happy days songs.i was awesome dnt miss it gals
0,the other girl wearing brown colour saree..
0,der
0,k
0,chuma
0,thank u
0,i am nt talkin with them always.just askd for help.they r school frnds.hw 2n i avoid them..
0,i am goin to jvc slot today
0,'ya :-
0,k
0,der
0,'hey ya i finished .but sir told to shw a demo..so hav to take it in pendrive tomorrow..i left ma mobile in d rum itself dats y cant rply u..sry..anyway thanks a lot:-
0,i didnt tel dat i am nt in mood..i dnt knw to try more than it
0,i am near lib
0,wat
0,':-
0,clas
0,tel
0,ten min da
0,i am nt talkin with them always.just askd for help.they r school frnds.hw 2n i avoid them..
0,i am ond way
0,tel me surely whether u vil write dip..r tel i need to try somethng else.
0,k
0,ya
0,rply da
0,i knw u didnt lyk do it rite frm d first..
0,k akka
0,k
0,ya i hav got one downloading
0,k d
0,'oh k enjoy:-
0,ru in kaju rum
0,u didnt lyk me talkin with any guy...after u told me to write only i askd ma frnds..u knw i dnt knw to write codin.then hw can i write
0,ya cuming
0,going to use d
0,i vil giv dat buk to xerox nw..nw lunch for me
0,oh thank u..
0,k d
0,"sastra means i vil tel abt d faculty,subject,n its tie up with companies"
0,interval
0,oh am gonna do daa n idi ss.cumin 4 anythn?
0,tell
0,u study now \
0,got up?
0,how much s tat i ve ly <#> i ll give me change
0,"we make friends. some become dearest. some become special. we have crushes on some, fall in love with someone. some go abroad. some change their cities. some leave us. we leave some. some are in contact & some are not. some dont contact because of their ego. we dont contact some because of our ego. whatever they were, however they are, we still remember them because the part they played made ""memories"" in our lives. send this to all your friends. no matter how often you talk or how close you are. ""let old friends know you have not forgotten them and tell new friends you will never forget them."":-d"
0,"dear friends, our tiruppur team creat a new car achiver mr.dineshkumar so wish him to achive next by prakash tiruppur team"
0,sorry for shouting
0,i vil b in hostel
0,wat doin?
0,will come 4 third hour
0,wat hapnd durng ur b\
0,i said u not to talk to anyone na for that
0,"youth ku, risk yedukirathu rask sapiduramathiri. but old ku, rask sapidurathey risk than. so, don\"
0,s
0,whr r u
0,u knw wat? i gt b\
0,one min
0,ya got verified
0,k
0,u goto class \
0,cha! un b\
0,i know u r angry.. i \
0,u call now orelse i \
0,ya ok di sorry
0,wat
0,sorry
0,'hey all:-
0,just now went n show da .he didnt ask anythng.just general outline of d program. he didnt check my output also
0,na enna panna first na than unaku send panna avala yaru atha copy panna sonna
0,"hurray! www.fullonsms.com is here! - save ur mobile bills - send unlimited sms for free - also send free jokes, one liners & watch videos all this for free"
0,"he was in my grp oly nah! our topic was ""xamination s it kilng education"""
0,k
0,call
0,i thought it was important
0,i need to c arthi
0,bye
0,"magic no-* <#> * <#> #. cal to this number. ""airtel only"" its very interesting try it . . ."
0,message me when it starts da...
0,"supreme court has announcd now that any person who meets road accidents can b taken 2 nearby hospital immediatly. hospital must not ask 4 police report 2 admit him,its doctrs duty 2 do 1st aid. police can b informed later. pls pass dis sms 2 all,rathar than forwdng other useless msgs. it may help sum1!!"
0,call
0,ur frnds took video of vignesh\
0,hey gals me in arundati..ll come after eating..
0,call
0,'ur date of birth says a lot of interesting facts about u.to knw more bout urself
0,so
0,vetti dog! en hr ku varala?
0,"<#> , i\"
0,k
0,call
0,k
0,ur frnds took video of vignesh\
0,wat doing
0,'hi:-
0,class over d
0,nope not them
0,aishwarya
0,"stars light stars bright ur the only star i see tonight. i wish i may. i wish i might be there guarding ur dreams tonite, good nite....... - via way2sms.com"
0,message me when it starts da...
0,supreme court has announcd now that any person who meets road accidents can b taken 2 nearby hospital immediatly. hospital must not ask 4 police report 2
0,"hp g <#> tu/ <#> tu i3,3gb, <#> gb, <decimal> \"
0,hr was gud 2day!
0,"osama binladen ku ""bayam"" na ennanae theriyathu why? yen na.. osama binladen ku tamil theriyathu. ayyoo! ayyoo! orey tamasu.."
0,call
0,'hi all:-
0,y don want
0,y
0,'happiness cannot b owned
0,i am in class
0,'lol :-
0,i was thinking abt whom i care most &amp; u came 2 my mind. so jst wanna wish u gdn8. - sent via way2sms.com
0,hr s was gud 2day!
0,y don want sorry
0,go n fuck with whom ever u like i don care
0,k
0,u haven seen them
0,k
0,when we cannot laugh on 1 joke again n again; why do we cry thinking about 1 hurt again n again ? we have just 1 life.. lets forgive & forget. good ni8
0,"xml , edi , rsa , web security , des .. important questions"
0,k
0,ok d
0,andha matter pdc sir ku vaera therinju poch! maanam poch!
0,k
0,call
0,okay
0,hari aravind
0,y da
0,\
0,'closing balance in savings a/c xxxxxx <#> as on <#> oct <#> is inr <decimal> cr (clearing cheques subject to realisation
0,k f u want take xrx d
0,ok d
0,ya semmaya!
0,submitted the assignme?
0,"starter kid bag- <#> , makeup kid brush- <#> , papaya shampoo- <#> , fair cream- <#> , aloe gel- <#> .total- <#>"
0,der
0,come soon
0,k
0,'having 1 child makes you a parent but having 2 makes you a refree. gud nite:-
0,al possible <#> mark quest. 4m whole syllabus s the portions 4 2days test in ss itseems!
0,y d
0,did u hve ny cold tablets wit u?
0,found a new si8 in ict 4th yr!
0,y
0,why listen to others songs when you can set yours ! launching my tunes! call <#> @2p/sec & listen to ur favourite song when you call others. call <#> now
0,class d mam came so \
0,wru
0,k
0,"<#> , i\"
0,goodnite
0,whthr u tk tat xrx
0,being in touch with you adds the spark to my life... just be there always - sent via way2sms.com
0,en chellam s 5n!
0,sorry loose
0,coming wru
0,k
0,i \
0,aishu y wat d problem
0,its ok. leave it
0,gud ni8 sollu da!
0,rply d
0,okie
0,nee dhaan sollanum!
0,stupid
0,its k
0,hey write that question in a paper n give me after this hour
0,its k
0,my school friend
0,"heart touching quote: force can mak everythng possible in world, but it can\"
0,ya tired!
0,r u thr
0,dono
0,hey bring my dc assignment tomo. i didnt write tat differentiate question
0,k k!
0,okies...
0,i have to see u
0,der
0,nayae..
0,k
0,'dosa :-
0,gud ni8!
0,call
0,answer frankly.... ne ennai parthu poramai kollum oru visayam enna? send to all ur frnds and c funny replys.. reply must... i am waiting. - via way2sms.com
0,just compltd record! gonna sleep! u?
0,der
0,k \
0,come out
0,bathed?
0,hey oru help da...web tech first <decimal> units ku na oru buk xerox eduturken da nd i tuk an xtra cpy ! can u ask if smbody wants it...
0,'fyn .. :
0,then
0,who all want od for carpe? reply immediatly. urgent..
0,i have work bye
0,k
0,seri k k!
0,rol cal
0,for wat u asked me to wait
0,k
0,k come by <decimal> i \
0,k
0,had dinner ?
0,next b\
0,when u want that signal book?
0,ok d
0,"驴 i wish i would there to hold u tight, instead of saying this loving good night. - sent via way2sms.com"
0,indha help kuda panna maataengura la?:-(
0,watch sizzling international models in bikinis.click <url>
0,y
0,u wait near ma class \
0,bunk?
0,wen ru coming
0,'no probs janu :-
0,next b\
0,'rc <#> = <#> loc sms free. know fun and positive facts about urself with your date of birth. sms dob (your dob
0,ok cn i get it nw...
0,"love is a hand watch, only one person can see the time. but friendship is like a wall clock, every one can see the time. - sent via way2sms.com"
0,hey plz da! kaetu sollu!
0,for what
0,for studying de loose daa
0,now?
0,wru
0,'fa me from eleventh :-
0,cha! vetti pasanga!
0,ask divya to check her messages
0,hey ask unna if she has plsql.i nd it urgently
0,"""anything is valuable only in 2 situations: first- before getting it.. second- after loosing it."".."
0,i dint go 1st 3 hrs nah! ask ur day schi frnds!
0,class over d gonna enjoy after this
0,k come to 4th floor...stairs
0,y u didnt like
0,not comin
0,so . wen is your semester ?? after diwali eh ?
0,adhu vidu! adi aavadhu vaanginiya?
0,i arranged the code for u don worry \
0,study stupid
0,ya y
0,i dint go 1st 3 hrs nah! ask ur day schi frnds!
0,k
0,i did not write de...so did not bring
0,y don want
0,gnv ditch
0,'fa sure :-
0,cake cut pannala?
0,k k.. going to hostel?
0,sema msg masthu ha ha
0,wat name
0,hey 2morow wat portions 4 ss test?
0,wat to do
0,mam matipanga de...she asked no one to be in the class
0,so u going huh
0,k come
0,me goin there next week . \
0,hey no one s n class de. shall i take ur bag to rest room
0,s
0,friends are there
0,warden avala apudi dhaan chellama kupiduvanga!
0,s
0,no class de
0,no intro oly..
0,me in back of chit
0,'that s gr8 :-
0,hey wru de
0,good night janu .. sweet dreamz ..
0,"catch the hottest show on tv this season ""hunt for the kingfisher calendar girl <#> "" mondays and tuesday <#> pm only on ndtv good times"
0,ur aal\
0,playing cricket
0,we r sitting behind rest room de.... that ditch
0,intro na intro
0,i am back of chit
0,ok to catch tat posari dhoti huh k k al d best try wel janu
0,y wat abt daa
0,3 sisters marry & go for honeymoon. mom ask them to send feedback sms. 1st daughter sms: \
0,yup sure dear
0,shabaa! ippadiyae bit-a poda vaendiyadhu! kondu varaen!
0,tell
0,ask every one to leave de....no class
0,y no
0,wru
0,so .. how are yo mam ?
0,me in my class wru
0,"teachr: ne periyavanaki enna panna pora? boy: kalyanam. teach: adu illa. ne ennava aaga virumbura? boy: husband tea: no. i mean unaku valkaiyal enna kadaikanum nu edir pakura? boy: wife tea: oh no. unga parents ku enna panna pora? boy: marumagal theduven tea: stupid, unga appa unkitta enna edir parkiranga? boy: pera kulandai tea: aiyo kadavule un valkai latchiyam enna? boy:""naam iruvar namaku iruvar"".... students rocks ... good ni8."
0,oh
0,over-a paesadha! get it in the mrng!
0,k
0,"celebrate this festival season with iob. buy 2,4,8, <#> , <#> & <#> grams of imported gold coins with <decimal> purity at competitive price. for details contact branch."
0,come
0,signals
0,'ya . definitely . gonna complete ma b e mech engg .. may be that s enough fa tat post :-
0,wru
0,"wenevr u hav dream inside ur heart, nevr let it go coz dreams r tiny seeds, 4rm wich beautiful 2morw grows hav 1derful dream 2ni8..... - via way2sms.com"
0,tomoro we can talk for sure
0,over-a paesadha! get it in the mrng!
0,nope
0,my friends
0,this is aswin divyas cousin pls ask her to check messages and reply to this mob no only today i forgot my mob thats why
0,u go u r wel qualifyd to do tat darln
0,sure
0,india won by 5 wickets.
0,y d
0,k k!
0,ok d
0,i need give intro to my friends
0,ok de... customer care ku phone pani sollu
0,"n masthu tats a vry bg job, . . . am nt qualifyd 4 tat"
0,tell
0,anyway only dip sir and daa ll be taking classes tomor others ll leave us free la so only bunking
0,y
0,"thu! anyway hav 2 cover 4 endsem pracs la! get a cover nd put, koranjida maata!"
0,k
0,wait till afternoon
0,"a cute excuse teacher: why r u late? student-mom dad were fighting.t-they were fighting,why r u late? s-one shoes was in mom\"
0,i\
0,k
0,k de i\
0,tell d... wat doing? going for aoe
0,der
0,hr sir askd 2 meet b4 this monday itseems!
0,u need algorithm or program
0,lets talk but not to canteen
0,love was not put in your heart to stay. love is not love till you give it away. good day!
0,nala job di. . . aiyo aiyo
0,cal
0,"tmrw dbms clas z not ther,so attend classes frm <decimal> ..,pass it 2 al our classmates"
0,"i do not think much, i do not think often, but when i do think, i think of you.-via indyarocks.com"
0,ok di took wen yu come get t from me
0,no! 2morow oly hav to!
0,k
0,"every king was once a crying baby & every great building was once a map. its not important where you are today,but where you will reach tomorrow... gud mrng"
0,okay...
0,aiyo ..
0,'k d:
0,wait d! cmng!
0,'hi
0,okay
0,"2morow get ur record covered, else she wont sign in bonafide!"
0,k
0,class
0,comin
0,"wanted part time job : any degree salary:rs. <#> .. <#> % job satisfaction job description: ""kovil \"
0,after <#> min \
0,aru lawn d!
0,not yet d
0,want ma daa assign di ll give back after 5 mins
0,odu!
0,replied soon good
0,chuma
0,wru
0,"rc <#> = <#> loc+nat sms free per day for <#> days. ur dob tells lot of interesting facts about you.to know more about urself, sms dob <ur dob>.ex : <#> dec.rs3/sms"
0,do u need d cooker now or shall i give 2moro?
0,hey if possible can u mail me sql software now?
0,oh okie d...
0,hey.. our cooker s slightly damaged.. so v r not lendin to anyone.. sorry
0,poda vetti! inga oruthi valiyula thavikura!
0,wru
0,k k
0,tel d
0,carpe
0,when
0,cn ya lend me ur cooker today?
0,adi pavi
0,1. u r my ______ 2. i ______ you. 3. i like your_____ 4. i want ______ from u. 5. pls change ur _____ 6. i don\
0,"adichanga la! appo edhuvum therila, ippo dhaan semmaya valikudhu!"
0,wru de
0,wru
0,shall i come now?
0,call
0,movie.. but its gonna over so \
0,then brng t bk whn u cm 4 din &msg me
0,ila d.tomo oly.u?
0,gave roll call?
0,diwali jokes wife: enanga karanam ilama kudika matten nu sonenga ipo ethuku kudichitu vandenga? husb: rocket vidrathuku bottle thevaipatathu athan.. gud ni8
0,call
0,k
0,wil come in ten mins
0,ok
0,tell
0,askd unna da
0,ok d
0,"'nice lines by a.r.rahman: ""u"" are born without anything."
0,vali pinnudhu!:-(
0,k k
0,hey wat order today
0,new hostel lawn?
0,der
0,'hey ask her 2 cum di :
0,wat d?
0,its k d if u hve ny work go n do it i l cme on sme othr day
0,shit! who told d?
0,get correction in dbms record nd compltd sign by 2morow!
0,y d
0,wait
0,have u marked d syllabus for dc 3rd mid sem..?
0,der
0,stupid go n sleep
0,f u r gona give evng 2 hm i l give 2mrw at 2 de so i m askng
0,half an hr d do u hve ny work?
0,near sengipatti de.. will reach at 7 de
0,u msg da
0,wat tell
0,'next generation lkg poem..:-d drinking drinkng little beer..%-
0,no d am scared.
0,"two fundamentals of cool life.... 1. walk like u r the king, 2. walk like u dont care who so ever the king is good evening... - via way2sms.com"
0,wat
0,while cmg can u brng maths bk i l take xerx &give
0,k d i l cme to ur rm n mark d portions
0,nopes... she doesnt have...
0,"k k! watever, nw better?"
0,tell her now itself so that she can arrange in next month.. dont tell the day before u want
0,hmm k k!
0,gutters opposit gnv
0,....... good evening frenz :-p
0,call afte studyin
0,begin:vcard version: <decimal> n:;dhiraj tel;cell: <#> email;internet;pref: email;internet: email;internet: x-irmc-luid: <#> f1 end:vcard
0,ok d whle c s cming gve ur dip bk to her d i need to take xerox
0,oh my god....enna de
0,hw r u nw da?
0,k
0,podi vetti! arivu illa! kaatitu maatha vaendiyadhu dhaana!
0,'ya okay da...thank you...:
0,"small fights create big affection on frnds.. only laughing doesnt create true fship. sumtimes fight, crying,scolding, all mischieves make a best frndshp."
0,after that call
0,whch time wl u give d
0,sory to ask d
0,recharge successful on <#> at <time> pm.talktime rs <decimal> .mrp rs <decimal> .transid <#> .call <#> for your full talktime offer
0,there?
0,y didnt tell d.. tell her that its fine for paying late
0,"you ve lic book, and any book for microprocessor? atleast any one?"
0,nothing
0,ask unna if she wanna join
0,u study \
0,hey.. tom no dbms class.. so for us class starts at <#> <#> only
0,l u ask her n tel me wen c l return nu?
0,hey i did not come to coll...y
0,"diwali msg man:enena vedi iruku? shopkepr:rajni ajith, surya, kamal vedi iruku sir. man:vijay vedi iruka? sk:sorry sir antha perula pushvaanam than irruku."
0,wat didnt tell
0,enaku saree la paakanum!
0,no y
0,ok d tanku
0,now huh
0,okie.. does unna hv it?
0,did u ask her wen c l return
0,':-
0,enna da panra?
0,wat no
0,goi! where in hostel?
0,you are welcome
0,hey did u hve ny idea d 2day s milk r cofe?
0,k u study \
0,hey.. do u hv my dbms rec?
0,then who s hvng?
0,i have given to janani. take from her
0,the ibm people are coming to our college tomorrow and are gonna take a session on tgmc... its goin to be damn useful for prj..so be present at <#> am at tifac audi.. further if u hav any doubts regarding dis just ask me...reply once u get dis msg.... sinduja...
0,have u said your mom abt extra thousand
0,w r u?
0,k
0,ok d free vidu ll get it on sme othr day d
0,i don remember
0,when l u cm 4 din
0,wil u able to return my pendrive nw plz
0,completed daa assign di come
0,what would have happened if adam and eve were chinese? we wud hav still livd in the paradise coz they wud hav left the apple n eaten the snake! good evening.
0,ya wait in break
0,"all smal fight creates big affection on frnds. always laughing does not creat true frndship, sometimes fight, cryin,scoldin, al makes it thick. hapy evng dia:-d"
0,2morow ict ramalakshmi\
0,ok d cn u gve me at nit i l finish it off n gve by mrng d
0,asking whether u got the photo which i am meanin
0,whr r u
0,after seeing your marks
0,i have given to janani. take from her
0,avaliyae kaelu!
0,y
0,sent it call after getting it
0,call
0,wen u believe \
0,'k de :-
0,"those who ve already got this msg, kindly ignore t... register for carpe tshirt by paying <#> to me... teeshirts compulsory..pay t on or before tomorrow...kindly reply.."
0,east its gettin late
0,un aal warden kittandhu super comment vaanginaalan!
0,i said i \
0,hey come to ur room de
0,wait one min
0,u got it
0,lonely hrs are the best hrs of our life bcoz its d only time we share our deepest pain wit d most trusted person in the world...
0,tell that after 3rd mid semeste
0,come down n get record de
0,un aal warden kittandhu super comment vaanginaalan!
0,k chellam
0,"imagine life without girls all theater silent d police at rest mobile companies in loss gift shops in loss & all boys ? ""university toppers. """
0,hey hw many exersices t hve compld n dbms recrd
0,saree photo
0,ok di
0,you are not followin it so i left
0,no d
0,today\
0,k dear
0,gudnyt:-p:-o
0,rc <#> = <#> tt . 喈呧喈掂喈侧瘝喈侧 喈掂瘒喈侧喈熰喈熰瘝喈熰. 喈庎喁嵿喈苦畷喁嵿畷喁堗喈苦喁嵿喈?喈班瘈喈氞喈班瘝喈溹瘝.喈班瘋 <decimal> 喈熰瘉喈權瘝喈曕喁?
0,sorry i used your profile to see your photos
0,hey dbms mam wont be coming tomor de. so come to class at <decimal>
0,in class
0,ya she kept ready
0,hey 2morow session 4 tgmc! ppl 4m ibm r cmng itseems!
0,me gonna drint beer today
0,nopes
0,lifela ithu ella varathan seium.. moreover they are my friends did for fun don take it seriously
0,u n other girl alone
0,he changed recently and i dont hve it . . . i just asked surbi she is not repl . . . i think she s gone 4 ncc . . after she comes il send it
0,k k
0,ya
0,脩枚 da...sithappa took your record...he wants..
0,no need d.. bharath is calling me to tanjore if i didnt go i \
0,oh wait d
0,y crying for that
0,one photo is good
0,hey wat happened
0,wat doin
0,canteen
0,ven i was in 6th!
0,we need that to go to movie.. your choice movie or canteen
0,call
0,wru
0,sorry i used your profile to see your photos
0,blog u
0,husband is the head of the family. then what is wife? wife is the neck of the family which can turn the head anywhere she wants.
0,'k de :-
0,3 to 5 years
0,my uncle died of mouth cancer! he gt it bcoz of panparag oly
0,no money
0,whether u said her that i did it
0,go die somewhere.. i don need tat shit record..
0,where is your saree photos
0,tell
0,der
0,i may come at 7... why de?
0,y not talkin
0,when
0,leave
0,call
0,y? i cant talk later
0,hey che solu d
0,hey a key with a guitar shaped keychain was found near de volley ball court . . probably a hostel room key. . get it from chit security. . pass de word
0,'just now crossed ariyalur de... will reach trichy in an hour.. from there to college... :-
0,kashtam!
0,s
0,u should worry for yourself she is that selfish
0,'life s nt abt riding bmw bt abt 3 frnds on a single bike riding round d city...!b-
0,k
0,solu d
